Date,Adj Close,Close,High,Low,Open,Volume
2023-01-13,113.0020142,117.0100021,117.9800034,114.0899963,114.5199966,25615100
2023-01-17,111.2443542,115.1900024,117.0100021,114.3399963,115.5199966,16945600
2023-01-18,109.341835,113.2200012,116.75,113.0400009,116.75,15347900
2023-01-19,112.5867462,116.5800018,117,113.9700012,114.0199966,18489900
2023-01-20,115.7543869,119.8600006,120.0599976,117.8000031,118.302002,18342700
2023-01-23,115.4356918,119.5299988,120.3000031,118.137001,120,13590200
2023-01-24,115.3487778,119.4400024,120,115,115,7807100
2023-01-25,116.1310272,120.25,120.3199997,117.5,118.5100021,9705000
2023-01-26,116.4400711,120.5699997,121.3000031,118.762001,121,11171000
2023-01-27,114.3250809,118.3799973,119.7099991,116.8099976,119.6900024,18027400
2023-01-30,107.3910217,111.1999969,113.1500015,109.7799988,111.6900024,21918200
2023-01-31,106.4252777,110.1999969,112.0800018,108.8099976,109.4199982,15330000
2023-02-01,108.9555359,112.8199997,113.9499969,110.1500015,111.8600006,16623000
2023-02-02,105.9810333,109.7399979,112.5250015,107.8099976,112.5,23396900
2023-02-03,102.6878357,106.3300018,109.5299988,105.8099976,108.0500031,15982200
2023-02-06,101.8379745,105.4499969,106.2799988,103.2200012,103.8199997,15337500
2023-02-07,101.8862686,105.5,107.3499985,103.7200012,106.8399963,16861700
2023-02-08,101.5096283,105.1100006,107.1399994,103.5500031,107.0999985,14329500
2023-02-09,104.7448807,108.4599991,109.8099976,107.75,108.5,16281300
2023-02-10,100.0996399,103.6500015,106.6399994,102.7900009,105.8000031,18776000
2023-02-13,101.200592,104.7900009,106.3499985,104.1500015,105.9899979,18538600
2023-02-14,100.650116,104.2200012,104.4800034,101.8499985,103.5500031,12978400
2023-02-15,99.54916382,103.0800018,103.4400024,102,102.3899994,18230200
2023-02-16,99.57813263,103.1100006,104.5199966,102.0299988,102.7099991,21747100
2023-02-17,96.58432007,100.0100021,101.0899963,99.25,101,18121600
